re_Code;re_Text;re_CodeF;re_Hauptdiagnose;re_Nebendiagnose;re_Prozedur
96326;Mehr als 12 bis 14 durch Spezialtherapeuten erbrachte Einheiten/Woche bei der psychosomatisch-psychotherapeutischen Komplexbehandlung bei psychischen, psychosomatischen und Verhaltensstörungen bei Erwachsenen;9-632.6;0;0;1
96327;Mehr als 14 bis 16 durch Spezialtherapeuten erbrachte Einheiten/Woche bei der psychosomatisch-psychotherapeutischen Komplexbehandlung bei psychischen, psychosomatischen und Verhaltensstörungen bei Erwachsenen;9-632.7;0;0;1
96328;Mehr als 16 bis 18 durch Spezialtherapeuten erbrachte Einheiten/Woche bei der psychosomatisch-psychotherapeutischen Komplexbehandlung bei psychischen, psychosomatischen und Verhaltensstörungen bei Erwachsenen;9-632.8;0;0;1
96330;1/12 bis 2 durch Pflegefachpersonen erbrachte Einheiten/Woche bei der psychosomatisch-psychotherapeutischen Komplexbehandlung bei psychischen, psychosomatischen und Verhaltensstörungen bei Erwachsenen;9-633.0;0;0;1
96331;Mehr als 2 bis 4 durch Pflegefachpersonen erbrachte Einheiten/Woche bei der psychosomatisch-psychotherapeutischen Komplexbehandlung bei psychischen, psychosomatischen und Verhaltensstörungen bei Erwachsenen;9-633.1;0;0;1
96332;Mehr als 4 bis 6 durch Pflegefachpersonen erbrachte Einheiten/Woche bei der psychosomatisch-psychotherapeutischen Komplexbehandlung bei psychischen, psychosomatischen und Verhaltensstörungen bei Erwachsenen;9-633.2;0;0;1
96333;Mehr als 6 bis 8 durch Pflegefachpersonen erbrachte Einheiten/Woche bei der psychosomatisch-psychotherapeutischen Komplexbehandlung bei psychischen, psychosomatischen und Verhaltensstörungen bei Erwachsenen;9-633.3;0;0;1
96334;Mehr als 8 bis 10 durch Pflegefachpersonen erbrachte Einheiten/Woche bei der psychosomatisch-psychotherapeutischen Komplexbehandlung bei psychischen, psychosomatischen und Verhaltensstörungen bei Erwachsenen;9-633.4;0;0;1
96335;Mehr als 10 bis 12 durch Pflegefachpersonen erbrachte Einheiten/Woche bei der psychosomatisch-psychotherapeutischen Komplexbehandlung bei psychischen, psychosomatischen und Verhaltensstörungen bei Erwachsenen;9-633.5;0;0;1
96336;Mehr als 12 bis 14 durch Pflegefachpersonen erbrachte Einheiten/Woche bei der psychosomatisch-psychotherapeutischen Komplexbehandlung bei psychischen, psychosomatischen und Verhaltensstörungen bei Erwachsenen;9-633.6;0;0;1
96337;Mehr als 14 bis 16 durch Pflegefachpersonen erbrachte Einheiten/Woche bei der psychosomatisch-psychotherapeutischen Komplexbehandlung bei psychischen, psychosomatischen und Verhaltensstörungen bei Erwachsenen;9-633.7;0;0;1
96338;Mehr als 16 bis 18 durch Pflegefachpersonen erbrachte Einheiten/Woche bei der psychosomatisch-psychotherapeutischen Komplexbehandlung bei psychischen, psychosomatischen und Verhaltensstörungen bei Erwachsenen;9-633.8;0;0;1
964000;Erhöhter Betreuungsaufwand bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Erwachsenen: 1:1-Betreuung: Mindestens 2 bis 6 Stunden pro Tag;9-640.00;0;0;1
964001;Erhöhter Betreuungsaufwand bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Erwachsenen: 1:1-Betreuung: Mehr als 6 bis 12 Stunden pro Tag;9-640.01;0;0;1
964002;Erhöhter Betreuungsaufwand bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Erwachsenen: 1:1-Betreuung: Mehr als 12 bis 18 Stunden pro Tag;9-640.02;0;0;1
964003;Erhöhter Betreuungsaufwand bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Erwachsenen: 1:1-Betreuung: Mehr als 18 bis 24 Stunden pro Tag;9-640.03;0;0;1
964010;Erhöhter Betreuungsaufwand bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Erwachsenen: Betreuung in der Kleinstgruppe: Mindestens 2 bis 6 Stunden pro Tag;9-640.10;0;0;1
964011;Erhöhter Betreuungsaufwand bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Erwachsenen: Betreuung in der Kleinstgruppe: Mehr als 6 bis 12 Stunden pro Tag;9-640.11;0;0;1
964012;Erhöhter Betreuungsaufwand bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Erwachsenen: Betreuung in der Kleinstgruppe: Mehr als 12 Stunden pro Tag;9-640.12;0;0;1
96410;Kriseninterventionelle Behandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Erwachsenen: Kriseninterventionelle Behandlung von mehr als 1,5 Stunden pro Tag durch Ärzte und/oder Psychologen;9-641.0;0;0;1
96411;Kriseninterventionelle Behandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Erwachsenen: Kriseninterventionelle Behandlung von mehr als 1,5 Stunden pro Tag durch Spezialtherapeuten und/oder Pflegefachpersonen;9-641.1;0;0;1
9642;Integrierte klinisch-psychosomatisch-psychotherapeutische Komplexbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Erwachsenen;9-642;0;0;1
96430;Psychiatrisch-psychotherapeutische Behandlung im besonderen Setting (Mutter/Vater-Kind-Setting): Mindestens 1 bis höchstens 7 Tage;9-643.0;0;0;1
96431;Psychiatrisch-psychotherapeutische Behandlung im besonderen Setting (Mutter/Vater-Kind-Setting): Mindestens 8 bis höchstens 14 Tage;9-643.1;0;0;1
96432;Psychiatrisch-psychotherapeutische Behandlung im besonderen Setting (Mutter/Vater-Kind-Setting): Mindestens 15 bis höchstens 21 Tage;9-643.2;0;0;1
96433;Psychiatrisch-psychotherapeutische Behandlung im besonderen Setting (Mutter/Vater-Kind-Setting): Mindestens 22 bis höchstens 28 Tage;9-643.3;0;0;1
96434;Psychiatrisch-psychotherapeutische Behandlung im besonderen Setting (Mutter/Vater-Kind-Setting): Mindestens 29 bis höchstens 35 Tage;9-643.4;0;0;1
96435;Psychiatrisch-psychotherapeutische Behandlung im besonderen Setting (Mutter/Vater-Kind-Setting): Mindestens 36 bis höchstens 42 Tage;9-643.5;0;0;1
96436;Psychiatrisch-psychotherapeutische Behandlung im besonderen Setting (Mutter/Vater-Kind-Setting): Mindestens 43 bis höchstens 49 Tage;9-643.6;0;0;1
96437;Psychiatrisch-psychotherapeutische Behandlung im besonderen Setting (Mutter/Vater-Kind-Setting): Mindestens 50 Tage;9-643.7;0;0;1
96540;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Kindern mit durch Ärzte und/oder Psychologen erbrachten Therapieeinheiten: Regelbehandlung mit 1/5 bis 2 Therapieeinheiten pro Woche;9-654.0;0;0;1
96541;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Kindern mit durch Ärzte und/oder Psychologen erbrachten Therapieeinheiten: Regelbehandlung mit mehr als 2 bis 4 Therapieeinheiten pro Woche;9-654.1;0;0;1
96542;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Kindern mit durch Ärzte und/oder Psychologen erbrachten Therapieeinheiten: Regelbehandlung mit mehr als 4 bis 6 Therapieeinheiten pro Woche;9-654.2;0;0;1
96543;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Kindern mit durch Ärzte und/oder Psychologen erbrachten Therapieeinheiten: Regelbehandlung mit mehr als 6 bis 8 Therapieeinheiten pro Woche;9-654.3;0;0;1
96544;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Kindern mit durch Ärzte und/oder Psychologen erbrachten Therapieeinheiten: Regelbehandlung mit mehr als 8 bis 10 Therapieeinheiten pro Woche;9-654.4;0;0;1
96545;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Kindern mit durch Ärzte und/oder Psychologen erbrachten Therapieeinheiten: Regelbehandlung mit mehr als 10 bis 12 Therapieeinheiten pro Woche;9-654.5;0;0;1
96546;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Kindern mit durch Ärzte und/oder Psychologen erbrachten Therapieeinheiten: Regelbehandlung mit mehr als 12 bis 14 Therapieeinheiten pro Woche;9-654.6;0;0;1
96547;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Kindern mit durch Ärzte und/oder Psychologen erbrachten Therapieeinheiten: Regelbehandlung mit mehr als 14 bis 16 Therapieeinheiten pro Woche;9-654.7;0;0;1
96548;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Kindern mit durch Ärzte und/oder Psychologen erbrachten Therapieeinheiten: Regelbehandlung mit mehr als 16 bis 18 Therapieeinheiten pro Woche;9-654.8;0;0;1
96549;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Kindern mit durch Ärzte und/oder Psychologen erbrachten Therapieeinheiten: Regelbehandlung mit mehr als 18 bis 20 Therapieeinheiten pro Woche;9-654.9;0;0;1
9654g;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Kindern mit durch Ärzte und/oder Psychologen erbrachten Therapieeinheiten: Regelbehandlung mit mehr als 32 Therapieeinheiten pro Woche;9-654.g;0;0;1
96550;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Kindern mit durch Spezialtherapeuten und/oder pädagogisch-pflegerische Fachpersonen erbrachten Therapieeinheiten: 1/5 bis 2 Therapieeinheiten pro Woche;9-655.0;0;0;1
96551;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Kindern mit durch Spezialtherapeuten und/oder pädagogisch-pflegerische Fachpersonen erbrachten Therapieeinheiten: mehr als 2 bis 4 Therapieeinheiten pro Woche;9-655.1;0;0;1
96552;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Kindern mit durch Spezialtherapeuten und/oder pädagogisch-pflegerische Fachpersonen erbrachten Therapieeinheiten: mehr als 4 bis 6 Therapieeinheiten pro Woche;9-655.2;0;0;1
96553;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Kindern mit durch Spezialtherapeuten und/oder pädagogisch-pflegerische Fachpersonen erbrachten Therapieeinheiten: mehr als 6 bis 8 Therapieeinheiten pro Woche;9-655.3;0;0;1
96554;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Kindern mit durch Spezialtherapeuten und/oder pädagogisch-pflegerische Fachpersonen erbrachten Therapieeinheiten: mehr als 8 bis 10 Therapieeinheiten pro Woche;9-655.4;0;0;1
96555;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Kindern mit durch Spezialtherapeuten und/oder pädagogisch-pflegerische Fachpersonen erbrachten Therapieeinheiten: mehr als 10 bis 12 Therapieeinheiten pro Woche;9-655.5;0;0;1
96556;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Kindern mit durch Spezialtherapeuten und/oder pädagogisch-pflegerische Fachpersonen erbrachten Therapieeinheiten: mehr als 12 bis 14 Therapieeinheiten pro Woche;9-655.6;0;0;1
96557;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Kindern mit durch Spezialtherapeuten und/oder pädagogisch-pflegerische Fachpersonen erbrachten Therapieeinheiten: mehr als 14 bis 16 Therapieeinheiten pro Woche;9-655.7;0;0;1
96558;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Kindern mit durch Spezialtherapeuten und/oder pädagogisch-pflegerische Fachpersonen erbrachten Therapieeinheiten: mehr als 16 bis 18 Therapieeinheiten pro Woche;9-655.8;0;0;1
96559;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Kindern mit durch Spezialtherapeuten und/oder pädagogisch-pflegerische Fachpersonen erbrachten Therapieeinheiten: mehr als 18 bis 20 Therapieeinheiten pro Woche;9-655.9;0;0;1
9655a;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Kindern mit durch Spezialtherapeuten und/oder pädagogisch-pflegerische Fachpersonen erbrachten Therapieeinheiten: mehr als 20 bis 22 Therapieeinheiten pro Woche;9-655.a;0;0;1
9655b;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Kindern mit durch Spezialtherapeuten und/oder pädagogisch-pflegerische Fachpersonen erbrachten Therapieeinheiten: mehr als 22 bis 24 Therapieeinheiten pro Woche;9-655.b;0;0;1
9655c;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Kindern mit durch Spezialtherapeuten und/oder pädagogisch-pflegerische Fachpersonen erbrachten Therapieeinheiten: mehr als 24 bis 26 Therapieeinheiten pro Woche;9-655.c;0;0;1
9655d;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Kindern mit durch Spezialtherapeuten und/oder pädagogisch-pflegerische Fachpersonen erbrachten Therapieeinheiten: mehr als 26 bis 28 Therapieeinheiten pro Woche;9-655.d;0;0;1
9655e;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Kindern mit durch Spezialtherapeuten und/oder pädagogisch-pflegerische Fachpersonen erbrachten Therapieeinheiten: mehr als 28 bis 30 Therapieeinheiten pro Woche;9-655.e;0;0;1
9655f;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Kindern mit durch Spezialtherapeuten und/oder pädagogisch-pflegerische Fachpersonen erbrachten Therapieeinheiten: mehr als 30 bis 32 Therapieeinheiten pro Woche;9-655.f;0;0;1
9655g;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Kindern mit durch Spezialtherapeuten und/oder pädagogisch-pflegerische Fachpersonen erbrachten Therapieeinheiten: mehr als 32 bis 34 Therapieeinheiten pro Woche;9-655.g;0;0;1
9655h;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Kindern mit durch Spezialtherapeuten und/oder pädagogisch-pflegerische Fachpersonen erbrachten Therapieeinheiten: mehr als 34 bis 36 Therapieeinheiten pro Woche;9-655.h;0;0;1
9655j;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Kindern mit durch Spezialtherapeuten und/oder pädagogisch-pflegerische Fachpersonen erbrachten Therapieeinheiten: mehr als 36 bis 38 Therapieeinheiten pro Woche;9-655.j;0;0;1
9655k;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Kindern mit durch Spezialtherapeuten und/oder pädagogisch-pflegerische Fachpersonen erbrachten Therapieeinheiten: mehr als 38 bis 40 Therapieeinheiten pro Woche;9-655.k;0;0;1
9655m;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Kindern mit durch Spezialtherapeuten und/oder pädagogisch-pflegerische Fachpersonen erbrachten Therapieeinheiten: mehr als 40 bis 42 Therapieeinheiten pro Woche;9-655.m;0;0;1
9655n;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Kindern mit durch Spezialtherapeuten und/oder pädagogisch-pflegerische Fachpersonen erbrachten Therapieeinheiten: mehr als 42 bis 44 Therapieeinheiten pro Woche;9-655.n;0;0;1
9655p;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Kindern mit durch Spezialtherapeuten und/oder pädagogisch-pflegerische Fachpersonen erbrachten Therapieeinheiten: mehr als 44 bis 46 Therapieeinheiten pro Woche;9-655.p;0;0;1
9655q;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Kindern mit durch Spezialtherapeuten und/oder pädagogisch-pflegerische Fachpersonen erbrachten Therapieeinheiten: mehr als 46 bis 48 Therapieeinheiten pro Woche;9-655.q;0;0;1
9655r;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Kindern mit durch Spezialtherapeuten und/oder pädagogisch-pflegerische Fachpersonen erbrachten Therapieeinheiten: mehr als 48 bis 50 Therapieeinheiten pro Woche;9-655.r;0;0;1
9655s;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Kindern mit durch Spezialtherapeuten und/oder pädagogisch-pflegerische Fachpersonen erbrachten Therapieeinheiten: mehr als 50 bis 52 Therapieeinheiten pro Woche;9-655.s;0;0;1
9655t;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Kindern mit durch Spezialtherapeuten und/oder pädagogisch-pflegerische Fachpersonen erbrachten Therapieeinheiten: mehr als 52 bis 54 Therapieeinheiten pro Woche;9-655.t;0;0;1
9655u;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Kindern mit durch Spezialtherapeuten und/oder pädagogisch-pflegerische Fachpersonen erbrachten Therapieeinheiten: mehr als 54 bis 56 Therapieeinheiten pro Woche;9-655.u;0;0;1
9655v;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Kindern mit durch Spezialtherapeuten und/oder pädagogisch-pflegerische Fachpersonen erbrachten Therapieeinheiten: mehr als 56 bis 58 Therapieeinheiten pro Woche;9-655.v;0;0;1
9655w;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Kindern mit durch Spezialtherapeuten und/oder pädagogisch-pflegerische Fachpersonen erbrachten Therapieeinheiten: mehr als 58 Therapieeinheiten pro Woche;9-655.w;0;0;1
96640;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Jugendlichen mit durch Ärzte und/oder Psychologen erbrachten Therapieeinheiten: Regelbehandlung mit 1/5 bis 2 Therapieeinheiten pro Woche;9-664.0;0;0;1
96641;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Jugendlichen mit durch Ärzte und/oder Psychologen erbrachten Therapieeinheiten: Regelbehandlung mit mehr als 2 bis 4 Therapieeinheiten pro Woche;9-664.1;0;0;1
96642;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Jugendlichen mit durch Ärzte und/oder Psychologen erbrachten Therapieeinheiten: Regelbehandlung mit mehr als 4 bis 6 Therapieeinheiten pro Woche;9-664.2;0;0;1
96643;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Jugendlichen mit durch Ärzte und/oder Psychologen erbrachten Therapieeinheiten: Regelbehandlung mit mehr als 6 bis 8 Therapieeinheiten pro Woche;9-664.3;0;0;1
96644;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Jugendlichen mit durch Ärzte und/oder Psychologen erbrachten Therapieeinheiten: Regelbehandlung mit mehr als 8 bis 10 Therapieeinheiten pro Woche;9-664.4;0;0;1
96645;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Jugendlichen mit durch Ärzte und/oder Psychologen erbrachten Therapieeinheiten: Regelbehandlung mit mehr als 10 bis 12 Therapieeinheiten pro Woche;9-664.5;0;0;1
96646;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Jugendlichen mit durch Ärzte und/oder Psychologen erbrachten Therapieeinheiten: Regelbehandlung mit mehr als 12 bis 14 Therapieeinheiten pro Woche;9-664.6;0;0;1
96647;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Jugendlichen mit durch Ärzte und/oder Psychologen erbrachten Therapieeinheiten: Regelbehandlung mit mehr als 14 bis 16 Therapieeinheiten pro Woche;9-664.7;0;0;1
96648;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Jugendlichen mit durch Ärzte und/oder Psychologen erbrachten Therapieeinheiten: Regelbehandlung mit mehr als 16 bis 18 Therapieeinheiten pro Woche;9-664.8;0;0;1
96649;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Jugendlichen mit durch Ärzte und/oder Psychologen erbrachten Therapieeinheiten: Regelbehandlung mit mehr als 18 bis 20 Therapieeinheiten pro Woche;9-664.9;0;0;1
9664a;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Jugendlichen mit durch Ärzte und/oder Psychologen erbrachten Therapieeinheiten: Regelbehandlung mit mehr als 20 bis 22 Therapieeinheiten pro Woche;9-664.a;0;0;1
9664d;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Jugendlichen mit durch Ärzte und/oder Psychologen erbrachten Therapieeinheiten: Regelbehandlung mit mehr als 26 bis 28 Therapieeinheiten pro Woche;9-664.d;0;0;1
9664g;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Jugendlichen mit durch Ärzte und/oder Psychologen erbrachten Therapieeinheiten: Regelbehandlung mit mehr als 32 Therapieeinheiten pro Woche;9-664.g;0;0;1
96650;Regelbehandlung bei psychischen und psychosomatischen Störungen und Verhaltensstörungen bei Jugendlichen mit durch Spezialtherapeuten und/oder pädagogisch-pflegerische Fachpersonen erbrachten Therapieeinheiten: 1/5 bis 2 Therapieeinheiten pro Woche;9-665.0;0;0;1
96651;Regelbehandlung bei psychischen und psychosomat. Störungen und Verhaltensstörungen bei Jugendlichen mit durch Spezialtherapeuten und/oder pädagogisch-pflegerische Fachpersonen erbrachten Therapieeinheiten: mehr als 2 bis 4 Therapieeinheiten pro Woche;9-665.1;0;0;1
96652;Regelbehandlung bei psychischen und psychosomat. Störungen und Verhaltensstörungen bei Jugendlichen mit durch Spezialtherapeuten und/oder pädagogisch-pflegerische Fachpersonen erbrachten Therapieeinheiten: mehr als 4 bis 6 Therapieeinheiten pro Woche;9-665.2;0;0;1
96653;Regelbehandlung bei psychischen und psychosomat. Störungen und Verhaltensstörungen bei Jugendlichen mit durch Spezialtherapeuten und/oder pädagogisch-pflegerische Fachpersonen erbrachten Therapieeinheiten: mehr als 6 bis 8 Therapieeinheiten pro Woche;9-665.3;0;0;1
96654;Regelbehandlung bei psychischen und psychosomat. Störungen und Verhaltensstörungen bei Jugendlichen mit durch Spezialtherapeuten und/oder pädagogisch-pflegerische Fachpersonen erbrachten TEen: mehr als 8 bis 10 Therapieeinheiten pro Woche;9-665.4;0;0;1
96655;Regelbehandlung bei psychischen und psychosomat. Störungen und Verhaltensstörungen bei Jugendlichen mit durch Spezialtherapeuten und/oder pädagogisch-pflegerische Fachpersonen erbrachten TEen: mehr als 10 bis 12 Therapieeinheiten pro Woche;9-665.5;0;0;1
96656;Regelbehandlung bei psychischen und psychosomat. Störungen und Verhaltensstörungen bei Jugendlichen mit durch Spezialtherapeuten und/oder pädagogisch-pflegerische Fachpersonen erbrachten TEen: mehr als 12 bis 14 Therapieeinheiten pro Woche;9-665.6;0;0;1
96657;Regelbehandlung bei psychischen und psychosomat. Störungen und Verhaltensstörungen bei Jugendlichen mit durch Spezialtherapeuten und/oder pädagogisch-pflegerische Fachpersonen erbrachten TEen: mehr als 14 bis 16 Therapieeinheiten pro Woche;9-665.7;0;0;1
96658;Regelbehandlung bei psychischen und psychosomat. Störungen und Verhaltensstörungen bei Jugendlichen mit durch Spezialtherapeuten und/oder pädagogisch-pflegerische Fachpersonen erbrachten TEen: mehr als 16 bis 18 Therapieeinheiten pro Woche;9-665.8;0;0;1
96659;Regelbehandlung bei psychischen und psychosomat. Störungen und Verhaltensstörungen bei Jugendlichen mit durch Spezialtherapeuten und/oder pädagogisch-pflegerische Fachpersonen erbrachten TEen: mehr als 18 bis 20 Therapieeinheiten pro Woche;9-665.9;0;0;1
9665a;Regelbehandlung bei psychischen und psychosomat. Störungen und Verhaltensstörungen bei Jugendlichen mit durch Spezialtherapeuten und/oder pädagogisch-pflegerische Fachpersonen erbrachten TEen: mehr als 20 bis 22 Therapieeinheiten pro Woche;9-665.a;0;0;1
9665b;Regelbehandlung bei psychischen und psychosomat. Störungen und Verhaltensstörungen bei Jugendlichen mit durch Spezialtherapeuten und/oder pädagogisch-pflegerische Fachpersonen erbrachten TEen: mehr als 22 bis 24 Therapieeinheiten pro Woche;9-665.b;0;0;1
9665c;Regelbehandlung bei psychischen und psychosomat. Störungen und Verhaltensstörungen bei Jugendlichen mit durch Spezialtherapeuten und/oder pädagogisch-pflegerische Fachpersonen erbrachten TEen: mehr als 24 bis 26 Therapieeinheiten pro Woche;9-665.c;0;0;1
9665d;Regelbehandlung bei psychischen und psychosomat. Störungen und Verhaltensstörungen bei Jugendlichen mit durch Spezialtherapeuten und/oder pädagogisch-pflegerische Fachpersonen erbrachten TEen: mehr als 26 bis 28 Therapieeinheiten pro Woche;9-665.d;0;0;1
9665e;Regelbehandlung bei psychischen und psychosomat. Störungen und Verhaltensstörungen bei Jugendlichen mit durch Spezialtherapeuten und/oder pädagogisch-pflegerische Fachpersonen erbrachten TEen: mehr als 28 bis 30 Therapieeinheiten pro Woche;9-665.e;0;0;1
9665f;Regelbehandlung bei psychischen und psychosomat. Störungen und Verhaltensstörungen bei Jugendlichen mit durch Spezialtherapeuten und/oder pädagogisch-pflegerische Fachpersonen erbrachten TEen: mehr als 30 bis 32 Therapieeinheiten pro Woche;9-665.f;0;0;1
9665g;Regelbehandlung bei psychischen und psychosomat. Störungen und Verhaltensstörungen bei Jugendlichen mit durch Spezialtherapeuten und/oder pädagogisch-pflegerische Fachpersonen erbrachten TEen: mehr als 32 bis 34 Therapieeinheiten pro Woche;9-665.g;0;0;1
9665h;Regelbehandlung bei psychischen und psychosomat. Störungen und Verhaltensstörungen bei Jugendlichen mit durch Spezialtherapeuten und/oder pädagogisch-pflegerische Fachpersonen erbrachten TEen: mehr als 34 bis 36 Therapieeinheiten pro Woche;9-665.h;0;0;1
9665j;Regelbehandlung bei psychischen und psychosomat. Störungen und Verhaltensstörungen bei Jugendlichen mit durch Spezialtherapeuten und/oder pädagogisch-pflegerische Fachpersonen erbrachten TEen: mehr als 36 bis 38 Therapieeinheiten pro Woche;9-665.j;0;0;1
9665k;Regelbehandlung bei psychischen und psychosomat. Störungen und Verhaltensstörungen bei Jugendlichen mit durch Spezialtherapeuten und/oder pädagogisch-pflegerische Fachpersonen erbrachten TEen: mehr als 38 bis 40 Therapieeinheiten pro Woche;9-665.k;0;0;1
9665m;Regelbehandlung bei psychischen und psychosomat. Störungen und Verhaltensstörungen bei Jugendlichen mit durch Spezialtherapeuten und/oder pädagogisch-pflegerische Fachpersonen erbrachten TEen: mehr als 40 bis 42 Therapieeinheiten pro Woche;9-665.m;0;0;1
9665n;Regelbehandlung bei psychischen und psychosomat. Störungen und Verhaltensstörungen bei Jugendlichen mit durch Spezialtherapeuten und/oder pädagogisch-pflegerische Fachpersonen erbrachten TEen: mehr als 42 bis 44 Therapieeinheiten pro Woche;9-665.n;0;0;1
9665p;Regelbehandlung bei psychischen und psychosomat. Störungen und Verhaltensstörungen bei Jugendlichen mit durch Spezialtherapeuten und/oder pädagogisch-pflegerische Fachpersonen erbrachten TEen: mehr als 44 bis 46 Therapieeinheiten pro Woche;9-665.p;0;0;1
9665q;Regelbehandlung bei psychischen und psychosomat. Störungen und Verhaltensstörungen bei Jugendlichen mit durch Spezialtherapeuten und/oder pädagogisch-pflegerische Fachpersonen erbrachten TEen: mehr als 46 bis 48 Therapieeinheiten pro Woche;9-665.q;0;0;1
9665r;Regelbehandlung bei psychischen und psychosomat. Störungen und Verhaltensstörungen bei Jugendlichen mit durch Spezialtherapeuten und/oder pädagogisch-pflegerische Fachpersonen erbrachten TEen: mehr als 48 bis 50 Therapieeinheiten pro Woche;9-665.r;0;0;1
9665s;Regelbehandlung bei psychischen und psychosomat. Störungen und Verhaltensstörungen bei Jugendlichen mit durch Spezialtherapeuten und/oder pädagogisch-pflegerische Fachpersonen erbrachten TEen: mehr als 50 bis 52 Therapieeinheiten pro Woche;9-665.s;0;0;1
